building_id,timestamp,consumption_kwh
Kitchen,2006-12-16T18:00:00Z,0
Kitchen,2006-12-16T19:00:00Z,0
Kitchen,2006-12-16T20:00:00Z,0
Kitchen,2006-12-16T21:00:00Z,0
Kitchen,2006-12-16T22:00:00Z,0
Kitchen,2006-12-16T23:00:00Z,0
Kitchen,2006-12-17T00:00:00Z,0
Kitchen,2006-12-17T01:00:00Z,0
Kitchen,2006-12-17T02:00:00Z,0
Kitchen,2006-12-17T03:00:00Z,0
Kitchen,2006-12-17T04:00:00Z,0
Kitchen,2006-12-17T05:00:00Z,0
Kitchen,2006-12-17T06:00:00Z,0
Kitchen,2006-12-17T07:00:00Z,0
Kitchen,2006-12-17T08:00:00Z,0
Kitchen,2006-12-17T09:00:00Z,0
Kitchen,2006-12-17T10:00:00Z,0.533
Kitchen,2006-12-17T11:00:00Z,0.567
Kitchen,2006-12-17T12:00:00Z,0
Kitchen,2006-12-17T13:00:00Z,0
Kitchen,2006-12-17T14:00:00Z,0
Kitchen,2006-12-17T15:00:00Z,0.418
Kitchen,2006-12-17T16:00:00Z,0.515
Kitchen,2006-12-17T17:00:00Z,0
Kitchen,2006-12-17T18:00:00Z,0
Kitchen,2006-12-17T19:00:00Z,0
Kitchen,2006-12-17T20:00:00Z,0
Kitchen,2006-12-17T21:00:00Z,0
Kitchen,2006-12-17T22:00:00Z,0
Kitchen,2006-12-17T23:00:00Z,0
Kitchen,2006-12-18T00:00:00Z,0
Kitchen,2006-12-18T01:00:00Z,0
Kitchen,2006-12-18T02:00:00Z,0
Kitchen,2006-12-18T03:00:00Z,0
Kitchen,2006-12-18T04:00:00Z,0
Kitchen,2006-12-18T05:00:00Z,0
Kitchen,2006-12-18T06:00:00Z,0
Kitchen,2006-12-18T07:00:00Z,0.005
Kitchen,2006-12-18T08:00:00Z,0.748
Kitchen,2006-12-18T09:00:00Z,0.31
Kitchen,2006-12-18T10:00:00Z,0
Kitchen,2006-12-18T11:00:00Z,0
Kitchen,2006-12-18T12:00:00Z,0
Kitchen,2006-12-18T13:00:00Z,0
Kitchen,2006-12-18T14:00:00Z,0
Kitchen,2006-12-18T15:00:00Z,0
Kitchen,2006-12-18T16:00:00Z,0
Kitchen,2006-12-18T17:00:00Z,0
Kitchen,2006-12-18T18:00:00Z,0
Kitchen,2006-12-18T19:00:00Z,0
Kitchen,2006-12-18T20:00:00Z,0
Kitchen,2006-12-18T21:00:00Z,0
Kitchen,2006-12-18T22:00:00Z,0
Kitchen,2006-12-18T23:00:00Z,0
Kitchen,2006-12-19T00:00:00Z,0
Kitchen,2006-12-19T01:00:00Z,0
Kitchen,2006-12-19T02:00:00Z,0
Kitchen,2006-12-19T03:00:00Z,0
Kitchen,2006-12-19T04:00:00Z,0
Kitchen,2006-12-19T05:00:00Z,0
Kitchen,2006-12-19T06:00:00Z,0
Kitchen,2006-12-19T07:00:00Z,0
Kitchen,2006-12-19T08:00:00Z,0.561
Kitchen,2006-12-19T09:00:00Z,0.278
Kitchen,2006-12-19T10:00:00Z,0
Kitchen,2006-12-19T11:00:00Z,0
Kitchen,2006-12-19T12:00:00Z,0
Kitchen,2006-12-19T13:00:00Z,0
Kitchen,2006-12-19T14:00:00Z,0
Kitchen,2006-12-19T15:00:00Z,0
Kitchen,2006-12-19T16:00:00Z,0
Kitchen,2006-12-19T17:00:00Z,0
Kitchen,2006-12-19T18:00:00Z,0
Kitchen,2006-12-19T19:00:00Z,0
Kitchen,2006-12-19T20:00:00Z,0
Kitchen,2006-12-19T21:00:00Z,0
Kitchen,2006-12-19T22:00:00Z,0
Kitchen,2006-12-19T23:00:00Z,0
Kitchen,2006-12-20T00:00:00Z,0
Kitchen,2006-12-20T01:00:00Z,0
Kitchen,2006-12-20T02:00:00Z,0
Kitchen,2006-12-20T03:00:00Z,0
Kitchen,2006-12-20T04:00:00Z,0
Kitchen,2006-12-20T05:00:00Z,0
Kitchen,2006-12-20T06:00:00Z,0
Kitchen,2006-12-20T07:00:00Z,0
Kitchen,2006-12-20T08:00:00Z,0
Kitchen,2006-12-20T09:00:00Z,0
Kitchen,2006-12-20T10:00:00Z,0
Kitchen,2006-12-20T11:00:00Z,0
Kitchen,2006-12-20T12:00:00Z,0
Kitchen,2006-12-20T13:00:00Z,0
Kitchen,2006-12-20T14:00:00Z,0
Kitchen,2006-12-20T15:00:00Z,0
Kitchen,2006-12-20T16:00:00Z,0
Kitchen,2006-12-20T17:00:00Z,0
Kitchen,2006-12-20T18:00:00Z,0
Kitchen,2006-12-20T19:00:00Z,0
Kitchen,2006-12-20T20:00:00Z,0
Kitchen,2006-12-20T21:00:00Z,0
Kitchen,2006-12-20T22:00:00Z,0
Kitchen,2006-12-20T23:00:00Z,0
Kitchen,2006-12-21T00:00:00Z,0
Kitchen,2006-12-21T01:00:00Z,0
Kitchen,2006-12-21T02:00:00Z,0
Kitchen,2006-12-21T03:00:00Z,0
Kitchen,2006-12-21T04:00:00Z,0
Kitchen,2006-12-21T05:00:00Z,0
Kitchen,2006-12-21T06:00:00Z,0
Kitchen,2006-12-21T07:00:00Z,0
Kitchen,2006-12-21T08:00:00Z,0
Kitchen,2006-12-21T09:00:00Z,0.666
Kitchen,2006-12-21T10:00:00Z,0.569
Kitchen,2006-12-21T11:00:00Z,0
Kitchen,2006-12-21T12:00:00Z,0
Kitchen,2006-12-21T13:00:00Z,0
Kitchen,2006-12-21T14:00:00Z,0
Kitchen,2006-12-21T15:00:00Z,0
Kitchen,2006-12-21T16:00:00Z,0
Kitchen,2006-12-21T17:00:00Z,0
Kitchen,2006-12-21T18:00:00Z,0
Kitchen,2006-12-21T19:00:00Z,0.281
Kitchen,2006-12-21T20:00:00Z,0.249
Kitchen,2006-12-21T21:00:00Z,0
Kitchen,2006-12-21T22:00:00Z,0
Kitchen,2006-12-21T23:00:00Z,0
Kitchen,2006-12-22T00:00:00Z,0
Kitchen,2006-12-22T01:00:00Z,0
Kitchen,2006-12-22T02:00:00Z,0
Kitchen,2006-12-22T03:00:00Z,0
Kitchen,2006-12-22T04:00:00Z,0
Kitchen,2006-12-22T05:00:00Z,0
Kitchen,2006-12-22T06:00:00Z,0
Kitchen,2006-12-22T07:00:00Z,0
Kitchen,2006-12-22T08:00:00Z,0.667
Kitchen,2006-12-22T09:00:00Z,0.601
Kitchen,2006-12-22T10:00:00Z,0
Kitchen,2006-12-22T11:00:00Z,0.225
